U+3262C	𲘬	lldd
U+3262D	𲘭	lqoj
U+3262E	𲘮	lkma
U+3262F	𲘯	wgmm
U+32630	𲘰	fjh
U+32631	𲘱	fgqn
U+32632	𲘲	fgng
U+32633	𲘳	fqy
U+32634	𲘴	fdbn
U+32635	𲘵	ftay
U+32636	𲘶	ywff
U+32637	𲘷	fnfg
U+32638	𲘸	fdfh
U+32639	𲘹	fdkg
U+3263A	𲘺	famh
U+3263B	𲘻	fqyg
U+3263C	𲘼	tbff
U+3263D	𲘽	fway
U+3263E	𲘾	ibff
U+3263F	𲘿	ipff
U+32640	𲙀	fbfg
U+32641	𲙁	fcag
U+32642	𲙂	fgaj
U+32643	𲙃	fabh
U+32644	𲙄	tehf
U+32645	𲙅	ftdg
U+32646	𲙆	futt
U+32647	𲙇	dhfb
U+32648	𲙈	fqph
U+32649	𲙉	fdfe
U+3264A	𲙊	fliy
U+3264B	𲙋	fnnw
U+3264C	𲙌	fyck
U+3264D	𲙍	fbfq
U+3264E	𲙎	fvyn
U+3264F	𲙏	flrh
U+32650	𲙐	fwff
U+32651	𲙑	fswc
U+32652	𲙒	fdfi
U+32653	𲙓	ffgw
U+32654	𲙔	fbcy
U+32655	𲙕	frvk
U+32656	𲙖	fkjn
U+32657	𲙗	hgif
U+32658	𲙘	fjgf
U+32659	𲙙	fkeg
U+3265A	𲙚	tkff
U+3265B	𲙛	wgqf
U+3265C	𲙜	fthc
U+3265D	𲙝	fowf
U+3265E	𲙞	fypy
U+3265F	𲙟	ffam
U+32660	𲙠	fdff
U+32661	𲙡	fbkg
U+32662	𲙢	fkhm
U+32663	𲙣	fkkk
U+32664	𲙤	fjog
U+32665	𲙥	fjtg
U+32666	𲙦	qtjf
U+32667	𲙧	ftoy
U+32668	𲙨	ftvw
U+32669	𲙩	itkf
U+3266A	𲙪	fptk
U+3266B	𲙫	fgoj
U+3266C	𲙬	fmth
U+3266D	𲙭	wwfe
U+3266E	𲙮	fqfh
