U+375E	㝞	pgfg
U+375F	㝟	pghq
U+3760	㝠	pjyw
U+3761	㝡	pbcu
U+3762	㝢	ptky
U+3763	㝣	pdhd
U+3764	㝤	pamf
U+3765	㝥	pnho
U+3766	㝦	pwyb
U+3767	㝧	pvwf
U+3768	㝨	pfke
U+3769	㝩	povi
U+376A	㝪	pfuy
U+376B	㝫	pbtg
U+376C	㝬	pdhw
U+376D	㝭	pnjg
U+376E	㝮	pbmc
U+376F	㝯	ptdk
U+3770	㝰	pthy
U+3771	㝱	pnhq
U+3772	㝲	pnhh
U+3773	㝳	gni
U+3774	㝴	fqfi
U+3775	㝵	jgfu
U+3776	㝶	lqfu
U+3777	㝷	vavf
U+3778	㝸	irqb
U+3779	㝹	itqy
U+377A	㝺	uvot
U+377B	㝻	akgt
U+377C	㝼	dngf
U+377D	㝽	dnii
U+377E	㝾	dnda
U+377F	㝿	dnhc
U+3780	㞀	dndo
U+3781	㞁	dnjx
U+3782	㞂	dnev
U+3783	㞃	wwky
U+3784	㞄	dndn
U+3785	㞅	dnjs
U+3786	㞆	dndk
U+3787	㞇	dnle
U+3788	㞈	dnya
U+3789	㞉	dnua
U+378A	㞊	bmfn
U+378B	㞋	nci
U+378C	㞌	nbd
U+378D	㞍	nvyi
U+378E	㞎	ncv
U+378F	㞏	ntpi
U+3790	㞐	nud
U+3791	㞑	nffn
U+3792	㞒	nthd
U+3793	㞓	nxjd
U+3794	㞔	nqqi
U+3795	㞕	nwed
U+3796	㞖	ngmi
U+3797	㞗	ngiy
U+3798	㞘	ngey
U+3799	㞙	ntfi
U+379A	㞚	ntfe
U+379B	㞛	ntxj
U+379C	㞜	nttv
U+379D	㞝	dhgn
U+379E	㞞	ntwh
U+379F	㞟	nusd
U+37A0	㞠	ndui
U+37A1	㞡	naae
U+37A2	㞢	bhgd
U+37A3	㞣	bhwv
U+37A4	㞤	mwu
U+37A5	㞥	mtyu
U+37A6	㞦	mwn
U+37A7	㞧	mbr
U+37A8	㞨	mbg
U+37A9	㞩	mwyu
U+37AA	㞪	vmj
U+37AB	㞫	mpu
U+37AC	㞬	maf
U+37AD	㞭	dmj
U+37AE	㞮	mqyu
U+37AF	㞯	nmj
U+37B0	㞰	mtfh
U+37B1	㞱	mjf
U+37B2	㞲	mkhh
U+37B3	㞳	mufh
U+37B4	㞴	mqan
U+37B5	㞵	myu
U+37B6	㞶	myy
U+37B7	㞷	bhgf
U+37B8	㞸	mdhu
U+37B9	㞹	mskg
U+37BA	㞺	mtdu
U+37BB	㞻	mkgn
U+37BC	㞼	bimj
U+37BD	㞽	mgny
U+37BE	㞾	mnxn
U+37BF	㞿	mfru
U+37C0	㟀	tmj
U+37C1	㟁	mdfh
U+37C2	㟂	mxy
U+37C3	㟃	mngk
U+37C4	㟄	mugh
U+37C5	㟅	mrbq
U+37C6	㟆	mwxf
U+37C7	㟇	mwwf
U+37C8	㟈	mgiy
U+37C9	㟉	mptg
U+37CA	㟊	mebg
U+37CB	㟋	mukq
U+37CC	㟌	mdny
U+37CD	㟍	myve
U+37CE	㟎	mevg
U+37CF	㟏	mwyk
U+37D0	㟐	mayn
U+37D1	㟑	mfpb
U+37D2	㟒	mvtk
U+37D3	㟓	mrdh
U+37D4	㟔	mwyk
U+37D5	㟕	mkuf
U+37D6	㟖	mgaj
U+37D7	㟗	mwvv
U+37D8	㟘	mmfk
U+37D9	㟙	majg
U+37DA	㟚	sfcm
U+37DB	㟛	mraf
U+37DC	㟜	mxqi
U+37DD	㟝	mukg
U+37DE	㟞	maay
U+37DF	㟟	mawb
U+37E0	㟠	mmum
U+37E1	㟡	mudb
U+37E2	㟢	mdsk
U+37E3	㟣	mswc
U+37E4	㟤	mviu
U+37E5	㟥	mcde
U+37E6	㟦	mplj
U+37E7	㟧	mkkn
U+37E8	㟨	mmdj
U+37E9	㟩	nnam
U+37EA	㟪	mlge
U+37EB	㟫	mriy
U+37EC	㟬	mehc
U+37ED	㟭	mnaj
U+37EE	㟮	mpwy
U+37EF	㟯	mptk
U+37F0	㟰	mpjw
U+37F1	㟱	mugo
U+37F2	㟲	mdri
U+37F3	㟳	mssy
U+37F4	㟴	mrqc
U+37F5	㟵	mlgh
U+37F6	㟶	mdri
U+37F7	㟷	mawk
